,tortoise,container,magpie,football,ambulance,ladder,toothbrush,syringe,sink,toy,organ,apple,cosmetics,paddle,snowman,beer,chopsticks,bird,croissant,cucumber,radish,towel,doll,skull,glove,tick,belt,sunglasses,banjo,cart,ball,backpack,bicycle,centipede,boat,surfboard,boot,headphones,shorts,bus,boy,screwdriver,barge,laptop,miniskirt,drill,dress,bear,waffle,pancake,woodpecker,pretzel,bagel,tower,teapot,person,swimwear,beehive,brassiere,bee,bat,starfish,popcorn,burrito,chainsaw,balloon,wrench,tent,lantern,toaster,flashlight,billboard,tiara,limousine,necklace,carnivore,scissors,stairs,printer,chair,shirt,poster,cheese,sock,earrings,tie,watercraft,cabinetry,suitcase,muffin,bidet,snack,snowmobile,clock,cattle,cello,camel,coat,suit,desk,cat,juice,gondola,beetle,cannon,cookie,fountain,coin,calculator,cocktail,box,stapler,drum,dessert,drink,zucchini,ladle,dice,oven,dinosaur,ratchet,couch,spatula,whiteboard,door,hat,shower,eraser,fedora,guacamole,dagger,scarf,dolphin,sombrero,mug,tap,stretcher,goggles,blender,volleyball,vase,wardrobe,coffee,whisk,food,skirt,fax,fruit,nightstand,barrel,kite,tart,treadmill,fox,flag,jacket,egg,guitar,pillow,isopod,grape,panda,giraffe,woman,rhinoceros,bathtub,goldfish,houseplant,goat,house,horse,hammer,harp,sandal,saucer,harpsichord,heater,harmonica,hamster,curtain,bed,kettle,fireplace,scale,insect,kitchenware,invertebrate,bookcase,refrigerator,jaguar,artichoke,table,tableware,kangaroo,koala,knife,bottle,lynx,lavender,lighthouse,dumbbell,bowl,humidifier,porch,lizard,mammal,mouse,motorcycle,snowplow,missile,bust,man,milk,plate,mushroom,crutch,pitcher,mirror,scoreboard,briefcase,nail,oboe,ostrich,piano,girl,plant,potato,pasta,penguin,pumpkin,pear,mixer,cupboard,jacuzzi,pizza,pig,reptile,rifle,lipstick,skateboard,raven,rose,rabbit,sculpture,saxophone,shotgun,seafood,snowboard,sword,sushi,loveseat,ski,squirrel,tripod,stethoscope,submarine,scorpion,segway,snake,skyscraper,sheep,television,trombone,tea,tank,taco,telephone,torch,tiger,strawberry,trumpet,tree,tomato,train,tool,trousers,truck,coffeemaker,violin,vehicle,handbag,wine,weapon,wheel,worm,wok,whale,zebra,jug,cream,monkey,lion,bread,platter,chicken,eagle,helicopter,owl,duck,turtle,hippopotamus,crocodile,toilet,squid,clothing,footwear,lemon,spider,deer,frog,banana,rocket,countertop,dog,book,elephant,shark,candle,leopard,axe,porcupine,flower,canary,cheetah,hamburger,maple,building,fish,lobster,furniture,hedgehog,airplane,spoon,otter,bull,oyster,bomb,bench,caterpillar,butterfly,parachute,orange,antelope,beaker,window,closet,castle,jellyfish,goose,mule,swan,peach,coconut,raccoon,chisel,fork,lamp,camera,squash,racket,vegetable,diaper,unicycle,falcon,chime,snail,shellfish,cabbage,carrot,mango,jeans,flowerpot,pineapple,drawer,stool,envelope,cake,dragonfly,honeycomb,ladybug,shelf,watch,candy,salad,parrot,handgun,sparrow,van,grinder,tire,ruler,microphone,broccoli,umbrella,pastry,grapefruit,band-aid,animal,turkey,lily,pomegranate,doughnut,glasses,pen,ant,car,aircraft,skunk,watermelon,cantaloupe,dishwasher,flute,sandwich,shrimp,binoculars,ipod,accordion,willow,crab,crown,seahorse,perfume,alpaca,taxi,canoe,wheelchair,armadillo,maracas,helmet
popcorn,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burrito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chainsaw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,28,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
balloon,0,0,0,1,0,3,0,0,1,331,0,0,0,0,3,2,1,6,0,0,0,0,2,0,0,0,0,34,0,1,142,0,19,0,6,0,1,0,17,11,210,0,1,5,2,0,116,0,0,0,0,0,0,2,0,1957,4,0,1,0,0,0,0,0,0,0,0,9,5,0,0,4,1,3,4,10,0,1,0,57,5,9,0,1,0,5,5,0,0,2,0,7,0,0,0,2,0,3,40,7,3,0,0,0,0,0,2,0,0,0,3,0,3,22,22,0,0,0,0,0,0,6,0,0,3,27,0,0,2,0,0,3,0,2,1,0,0,9,0,0,8,0,0,0,73,5,0,5,0,1,2,0,0,0,14,6,2,10,0,0,0,0,0,822,0,0,0,7,0,18,2,0,0,0,1,0,0,0,0,5,1,0,2,0,0,0,1,7,2,0,0,119,29,0,0,0,26,0,0,0,0,1,0,1,0,89,0,2,0,0,0,863,0,0,1,0,0,1,0,0,0,0,0,0,406,245,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,310,2,1,1,19,7,0,2,395,1,1,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1658,323,0,0,0,0,0,1,0,7,11,1,0,14,0,0,0,72,0,0,0,0,70,0,0,112,0,3,0,0,0,0,0,1,0,1,79,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,71,4,0,1,0,0,28,0,0,0,10,0,2,0,0,0,0,7,0,13,0,14,0,7,0,0,0,18,0,0,0,0,64,0,0,69,108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,4
wrench,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tent,1,0,0,3,1,4,0,0,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,20,0,5,6,4,54,0,18,0,3,1,14,7,51,0,0,5,1,0,34,0,0,0,0,0,0,6,0,1961,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,1,0,18,0,0,0,124,4,2,0,0,0,1,17,0,0,0,0,4,0,1,3,1,0,4,13,5,2,0,0,0,0,0,4,0,0,1,3,0,12,2,6,0,0,0,0,0,0,2,0,0,3,18,0,0,5,0,0,1,0,1,0,0,0,7,0,0,4,0,0,0,43,3,0,2,0,0,1,0,0,0,29,23,0,13,1,0,0,0,0,535,0,0,0,8,2,84,8,0,0,0,0,0,0,0,0,3,8,0,1,0,0,0,0,1,0,0,0,232,4,0,0,0,10,0,0,1,0,1,0,4,0,135,0,12,0,0,0,933,0,0,0,1,0,1,0,0,0,0,0,0,166,978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,1442,3,3,2,23,18,0,1,484,2,0,5,153,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1477,398,0,0,1,0,0,0,0,24,3,0,0,3,0,0,0,39,0,0,0,0,226,1,0,233,0,6,0,0,0,0,0,13,0,0,2,0,0,0,40,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,105,10,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,27,0,59,0,2,0,147,0,0,0,47,0,0,0,0,22,0,0,260,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,3,0,0,2
lantern,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,13,0,0,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,33,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,9,31,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,7,0,1,0,0,0,0,0,0,1,0,0,57,0,0,0,16,0,0,0,0,61,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,0,1,0,0,0,0,0,0,0,0,206,0,33,0,30,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
toaster,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,16,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
billboard,0,0,0,4,2,4,0,0,0,13,0,3,0,0,0,7,0,18,0,0,0,0,1,0,0,0,0,9,0,2,4,0,66,0,15,1,1,0,11,90,23,0,0,7,1,0,16,2,0,0,0,0,2,68,0,1974,2,0,0,0,0,0,1,0,0,4,0,5,1,0,0,0,0,2,1,16,0,1,0,9,0,583,1,0,0,3,16,1,0,0,0,20,0,10,9,0,1,3,54,5,3,1,0,0,2,0,1,0,0,1,1,0,0,3,31,0,0,0,0,1,0,1,0,10,19,6,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,55,0,0,6,0,1,1,0,0,1,44,22,0,8,0,0,1,0,1,464,1,0,0,9,3,215,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,16,3,0,0,0,24,0,0,4,0,0,0,5,0,58,0,22,0,0,0,790,0,0,0,0,0,12,62,0,0,0,0,0,142,588,0,0,1,1,0,0,0,0,1,2,0,0,1,1,0,2,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,444,1,67,0,0,2,0,1,0,1,0,2,1172,0,38,2,14,96,0,1,1673,0,2,4,416,0,0,1,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1161,239,0,0,0,2,0,0,0,16,30,3,1,0,0,0,0,36,0,0,15,1,2021,1,1,37,0,12,0,0,4,0,0,4,0,0,1,0,0,0,290,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,63,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,61,0,113,0,11,0,7,1,0,0,71,0,0,0,2,37,0,0,1208,16,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,75,0,1,0,0,5
tiara,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,183,0,0,0,0,0,0,0,0,258,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,3,0,0,0,1,1,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,44,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,274,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,127,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,7,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,79,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0
limousine,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,9,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,28,0,2,0,1,3,0,0,236,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,27,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,269,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
necklace,0,0,0,0,0,0,0,0,1,19,0,0,10,0,0,0,0,8,0,0,0,0,21,1,1,0,3,54,0,0,0,0,1,0,0,0,0,1,3,0,30,0,0,3,4,0,164,0,0,0,0,0,0,0,0,1281,2,0,7,0,0,0,0,0,0,4,0,0,0,0,0,1,14,0,0,5,0,0,0,4,11,6,0,1,48,14,0,0,0,0,0,0,0,1,0,0,0,7,48,1,3,2,0,0,0,0,0,2,0,2,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,6,0,1,1,0,0,34,0,0,1,0,0,0,9,7,0,1,0,0,0,0,0,0,0,22,0,5,1,0,0,0,0,993,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,4,0,0,0,5,0,0,0,0,0,0,0,0,91,0,0,0,0,3,262,0,1,0,0,0,1,0,0,0,0,0,0,319,36,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,40,0,0,0,10,1,0,0,8,5,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1345,24,0,0,0,0,1,0,0,3,3,0,0,1,0,0,1,51,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,1,0,0,0,1,8,0,0,1,1,0,0,0,1,0,29,1,1,0,0,0,13,0,0,0,0,162,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2
carnivore,2,0,2,23,0,6,0,0,134,338,1,5,0,11,0,18,0,149,0,0,1,3,17,3,2,0,2,104,1,18,103,10,106,0,42,7,21,2,56,14,346,0,0,128,2,0,102,694,0,0,0,0,0,4,2,6814,17,0,1,0,2,0,1,0,1,10,0,18,0,1,0,16,3,0,5,0,2,28,3,332,5,140,0,6,0,3,33,32,12,2,3,39,0,17,40,0,2,16,44,59,11908,2,0,1,1,1,11,1,0,3,87,0,3,32,86,0,0,0,2,17,0,234,1,3,88,107,0,0,13,0,0,6,0,1,15,27,0,51,2,1,30,1,2,0,228,4,0,32,11,1,0,2,2,358,11,74,1,22,60,0,2,161,7,1293,3,14,3,188,28,215,90,0,0,13,2,1,1,0,23,31,109,2,53,0,6,1,9,76,2,313,1,381,63,24,11,0,101,152,9,2,0,20,0,18,3,5179,40,26,0,0,0,2041,2,5,0,0,3,24,0,3,0,0,0,7,675,4577,0,0,3,28,0,1,6,0,2,32,21,4,0,3,2,13,25,174,0,0,1,0,0,0,16,4,26,3,1,0,0,0,6,8,27,41,1,0,2,0,4,0,730,2,1,2482,3,10,5,173,12,0,0,881,14,9,11,410,0,3,2,6,4,0,30,723,0,3,19,4,3,18,14,5,6,5,7,0,5192,1800,1,1,17,4,0,0,9,20257,161,11,0,13,518,0,12,394,0,410,1,2,142,19,1,1274,5,4,1,212,7,0,0,39,0,4,0,3,12,0,429,2,1,0,9,5,2,0,0,127,0,0,9,9,14,1,29,0,0,3,0,2,1,0,1,0,492,200,0,29,7,0,13,0,0,0,117,17,0,3,4,1,0,18,0,221,0,4,0,17,1,0,0,35141,2,1,0,0,275,3,0,451,7,22,2,0,3,0,1,0,0,0,1,0,1,2,1,0,11,0,8,8,0,0,15
